group,model,size_b,variant,throughput_tok_per_s,hf_repo
Qwen3-AWQ,Qwen3-4B-AWQ,4,baseline,428.3,Qwen/Qwen3-4B-AWQ
Qwen3-AWQ,Qwen3-4B-AWQ,4,patched,561.5,Qwen/Qwen3-4B-AWQ
Qwen3-AWQ,Qwen3-8B-AWQ,8,baseline,322.1,Qwen/Qwen3-8B-AWQ
Qwen3-AWQ,Qwen3-8B-AWQ,8,patched,398.4,Qwen/Qwen3-8B-AWQ
Qwen3-AWQ,Qwen3-14B-AWQ,14,baseline,179.8,Qwen/Qwen3-14B-AWQ
Qwen3-AWQ,Qwen3-14B-AWQ,14,patched,201.5,Qwen/Qwen3-14B-AWQ
Qwen3-BF16,Qwen3-4B-BF16,4,baseline,337.0,Qwen/Qwen3-4B
Qwen3-BF16,Qwen3-4B-BF16,4,patched,410.8,Qwen/Qwen3-4B
Qwen3-BF16,Qwen3-8B-BF16,8,baseline,236.6,Qwen/Qwen3-8B
Qwen3-BF16,Qwen3-8B-BF16,8,patched,273.1,Qwen/Qwen3-8B
Qwen3-BF16,Qwen3-14B-BF16,14,baseline,129.7,Qwen/Qwen3-14B
Qwen3-BF16,Qwen3-14B-BF16,14,patched,140.5,Qwen/Qwen3-14B
W4A16-sweep,Llama-3.1-8B-W4A16,8,baseline,281.2,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16
W4A16-sweep,Llama-3.1-8B-W4A16,8,patched,315.5,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16
W4A16-sweep,Gemma-2-9B-W4A16,9,baseline,213.7,RedHatAI/gemma-2-9b-it-quantized.w4a16
W4A16-sweep,Gemma-2-9B-W4A16,9,patched,236.3,RedHatAI/gemma-2-9b-it-quantized.w4a16
W4A16-sweep,Mistral-Nemo-12B-W4A16,12,baseline,209.8,RedHatAI/Mistral-Nemo-Instruct-2407-quantized.w4a16
W4A16-sweep,Mistral-Nemo-12B-W4A16,12,patched,241.7,RedHatAI/Mistral-Nemo-Instruct-2407-quantized.w4a16
W4A16-sweep,phi-4-14B-W4A16,14,baseline,175.8,RedHatAI/phi-4-quantized.w4a16
W4A16-sweep,phi-4-14B-W4A16,14,patched,201.5,RedHatAI/phi-4-quantized.w4a16
W4A16-sweep,Mistral-Small-24B-W4A16,24,baseline,119.4,RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w4a16
W4A16-sweep,Mistral-Small-24B-W4A16,24,patched,136.4,RedHatAI/Mistral-Small-24B-Instruct-2501-quantized.w4a16
W4A16-sweep,Llama-3.3-70B-W4A16,70,baseline,33.4,RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16
W4A16-sweep,Llama-3.3-70B-W4A16,70,patched,40.5,RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16
W4A16-sweep,Qwen2.5-72B-W4A16,72,baseline,32.9,RedHatAI/Qwen2.5-72B-Instruct-quantized.w4a16
W4A16-sweep,Qwen2.5-72B-W4A16,72,patched,38.5,RedHatAI/Qwen2.5-72B-Instruct-quantized.w4a16
